Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
13798.18889,13947.86667,3728.82222,33878.46667,1070246.58889,47.55556,3.4963,25.18519,2175.27778,1203483.56667,31.77778,28517.82222,7.62593,1192.11111,1.0,265.28889,1428.66667,1.66667,11539.17778,2FeCuK.a_8,403.04444,28.11111,37.74444,99.27037,6237.24444,41.22222,1.0,5.88148,14.15556,3240.3,1.0,205.57778,2.22222,2.44444,1.77778,5.55556,3.77778,1.0,10.88148,2FeCuK.i_8
13919.18889,13881.2,4298.37778,32687.91111,1044154.81111,143.88889,4.05185,32.94444,1995.27778,1162065.56667,29.44444,24222.26667,10.01111,1247.22222,1.0,254.84444,1338.77778,2.33333,7067.73333,2FeCuK.a_9,409.15556,33.0,40.85556,93.11852,6760.8,16.88889,1.0,1.71852,16.37778,3114.52222,1.0,170.35556,1.27778,2.0,1.0,3.33333,1.88889,1.64444,11.75556,2FeCuK.i_9
11214.36667,18478.13333,3049.95556,54691.5,209839.91111,1228.66667,2.55556,34.86667,3024.81111,1406859.6,64.66667,670277.55556,39.11111,1194.93333,1.0,278.44444,1343.77778,26.56667,8207.77778,FeCu.a_0,552.93333,707.66667,19.32222,1467.27778,844.81111,5.94815,1.0,3.86667,95.37778,53429.25556,4.37778,5086.22222,1.33333,5.55556,1.0,1.77778,1.88889,1.50741,17.6,FeCu.i_0
10840.47778,18176.46667,2680.51111,51802.5,185863.24444,1841.11111,6.66667,21.14074,2848.03333,1340763.6,65.22222,659985.11111,41.88889,1069.37778,1.0,268.77778,670.0,31.34444,6719.88889,FeCu.a_1,554.48889,719.77778,18.87778,1310.05556,798.7,4.52963,1.0,1.87778,90.93333,49188.14444,2.05926,4561.33333,1.0,5.44444,1.0,3.66667,1.0,1.50741,9.64444,FeCu.i_1
11028.7,17850.68889,2619.62222,51192.5,182134.57778,988.11111,6.0,26.08148,2824.47778,1291893.37778,65.88889,646948.55556,43.55556,1075.82222,1.0,258.22222,2420.0,22.9,8847.77778,FeCu.a_2,526.26667,576.44444,15.21111,1199.16667,750.47778,1.0,1.1037,6.73333,88.37778,46242.92222,1.74074,4413.88889,1.66667,3.22222,1.0,3.22222,1.0,1.63333,15.26667,FeCu.i_2
10519.25556,19718.46667,2765.84444,49906.61111,179805.8,1086.88889,3.44444,27.19259,2656.7,1243346.6,62.77778,623134.11111,37.44444,1100.15556,1.77778,266.55556,2173.55556,27.78889,8216.44444,FeCu.a_3,527.82222,599.66667,19.43333,1129.61111,757.03333,26.75926,1.0,3.86667,87.6,44528.81111,1.41481,4264.66667,1.33333,4.55556,3.44444,2.11111,5.77778,1.12593,11.2,FeCu.i_3
9730.14444,17008.02222,3135.62222,45124.38889,151843.57778,940.77778,4.77778,27.75556,2530.14444,1207652.6,62.33333,596045.0,40.88889,938.93333,1.77778,271.0,803.77778,30.78889,5707.22222,FeCu.a_4,493.04444,617.66667,19.65556,1173.38889,685.58889,12.31481,1.0,2.98889,91.48889,42692.47778,2.72593,4164.77778,1.0,3.44444,1.0,3.55556,4.66667,2.64815,9.82222,FeCu.i_4
10395.81111,14887.02222,2924.06667,45933.83333,168019.8,1684.77778,4.33333,32.42222,2470.92222,1180922.6,71.0,619995.22222,42.66667,1076.71111,1.0,299.55556,851.22222,24.78889,6758.22222,FeCu.a_5,499.93333,583.33333,18.32222,1276.61111,676.7,17.7,1.0,2.75556,79.6,41827.25556,2.84444,4061.77778,1.33333,4.55556,1.0,2.88889,3.77778,1.57037,9.6,FeCu.i_5
9849.58889,16567.35556,2945.73333,44083.61111,167101.35556,1042.22222,4.66667,35.97778,2441.14444,1153328.6,59.77778,595263.44444,39.22222,1034.82222,1.0,254.55556,582.11111,16.01111,6412.88889,FeCu.a_6,493.82222,579.44444,17.98889,982.27778,690.92222,15.58889,1.0,2.75556,77.04444,40440.58889,1.74815,3968.66667,2.0,2.44444,1.0,3.22222,2.77778,2.07778,9.2,FeCu.i_6
9708.7,16840.46667,3371.51111,43409.83333,151884.68889,1117.77778,5.11111,30.47407,2383.25556,1102514.37778,65.55556,575641.11111,34.33333,961.26667,1.0,236.11111,604.88889,26.67778,5926.66667,FeCu.a_7,520.04444,523.88889,21.76667,1008.27778,678.7,13.58889,1.0,9.83333,78.93333,39412.58889,2.39259,3896.77778,1.33333,4.66667,1.0,4.44444,3.77778,1.50741,10.31111,FeCu.i_7
