Al,S,Cr,Mn,Co,Cu,Zn,Pb,Mg,name
-2.2557964810263194,-2.3941302305650574,-6.4667065864587805,-4.2326975391119355,-4.546422661611893,-6.327262165074384,-6.262198721896051,-5.845424149610214,11.042425712675803,224_6
-2.401100705798401,-2.3602368871630732,-6.454946145582591,-4.256141467187425,-4.51335369363872,-6.2030238547532655,-6.145865398360124,-5.58343912248127,11.390328365229477,224_7
-2.3410666345419813,-1.9649356053980793,-5.7220795129491675,-4.26491117223851,-4.591452645030762,-6.118482715257309,-6.305591352021339,-5.24926746397364,11.193477491268801,224_8
-2.2632417549229573,-2.2374031423146383,-5.475504198054348,-4.247735143731617,-4.622202729493943,-6.088500548586692,-6.227349184531161,-5.216994955248257,11.568246640721387,224_9
-0.6255622022157364,-1.8739955864263116,-4.3631481399208765,-5.044742486214077,-7.157468981277201,-5.341632643593814,-6.57245835085655,-2.686534177101305,9.056163050794046,225_0
-0.5638566174436764,-1.9413244707487147,-4.516250229377989,-4.849692752527306,-7.336280309236681,-5.452503803305099,-5.9483227568289,-2.6456175723901953,8.97325002847246,225_1
-0.4765166504204268,-2.3952974999868295,-4.708922837646364,-4.886389388697891,-7.218148834149326,-5.480559554207257,-6.405191585132354,-2.7762093303713775,9.057445582688153,225_2
-0.35583172494285076,-1.7762629890070676,-4.4573039962975125,-4.926578399002822,-7.202731593380081,-5.450836061469635,-6.903452751397262,-2.7996769018587138,8.969058363965438,225_3
-0.43114040886659927,-1.4687414455657561,-4.985297377142068,-4.806310884375893,-7.20208324877943,-5.6943085007062715,-6.2897213474693965,-2.6852986033729307,9.187092226915098,225_4
-0.7093794265981147,-2.370640255051676,-4.658913895435389,-4.936698272825899,-7.203230879237131,-5.766446599761617,-6.329865084937119,-2.6772796354031585,8.808399080925554,225_5
-0.35241232802189376,-1.815812995550232,-4.082702993204389,-4.854657484286539,-6.983699265310656,-5.43721699246895,-6.30255919697815,-2.6871178302658394,8.875175219148641,225_6
-0.7091937484340591,-1.896805091399853,-4.940981291480609,-4.944741547607775,-7.157767163117972,-5.548328824367949,-6.49447241939178,-2.674303851728593,8.861236631150735,225_7
-0.2812458936739338,-2.110323451654835,-4.930490643811963,-4.901966893362544,-7.129884936076938,-5.613999401693638,-6.697074862183849,-2.5571818443693903,9.007514061845239,225_8
-0.8235017338231532,-1.712471858755497,-4.919902032162397,-4.898462901453242,-7.228494542121643,-5.636320522929371,-6.2164829025385515,-2.6444785202864107,8.79014740544264,225_9
