Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
99925.02742,44980.22222,17279.31974,992.86592,312885.55074,1509.57719,50.44444,59.72222,6683.19504,428571.19661,342.75556,87055.55446,4063.34161,1645.59223,3.03113,17749.88274,2700.81983,2391.77768,118461.01064,108.a_4,3140.96434,430.20872,320.28464,1.0,7560.48699,125.42619,1.0,1.0,44.64955,13968.17596,1.05556,2747.84668,6.48277,15.81445,1.0,346.63444,39.71892,20.3405,1988.93334,108.i_4
95775.02742,46953.72222,18427.48641,926.03259,309997.49519,1507.63274,51.66667,56.56667,7047.52838,418208.97438,287.2,86273.83223,4725.50827,1689.92556,3.53779,17649.88274,3108.54205,2410.88879,120466.89953,108.a_5,2576.13101,349.31983,309.89575,1.0,6429.82033,144.5002,1.0,1.0,39.20511,13563.73152,1.11111,2988.90223,3.75576,19.98111,1.0,277.24555,39.71892,31.43672,2190.4889,108.i_5
88925.13853,42859.66667,17731.81974,967.31036,294583.99519,1493.24385,44.55556,45.78889,6205.08393,404350.91883,300.2,86834.88779,4007.95272,1556.31445,3.21112,16362.5494,2817.81983,2212.61101,108184.17731,108.a_6,3061.24212,392.65317,312.34019,1.0,7454.93144,450.18561,1.07708,1.0,45.64955,13264.45374,1.0,2739.40223,8.03353,16.92556,1.0,306.52333,38.60781,19.35911,1806.04445,108.i_6
88364.91631,39327.0,14993.54197,946.47703,302691.82852,1584.02163,40.11111,55.64444,5831.2506,396014.02994,237.97778,78774.9989,3751.89716,1532.70334,2.81335,19140.27162,2987.4865,2264.72212,112785.17731,108.a_7,2752.18656,341.26428,322.72908,1.0,6715.32033,215.0744,1.0,1.0,44.20511,12833.6204,1.0,2734.95779,10.86208,16.59223,1.0,273.19,35.71892,27.33305,1946.21112,108.i_7
88779.19409,37194.27778,13726.70863,980.08814,291026.66185,1275.57719,39.77778,41.92222,5705.13949,385289.80772,233.31111,74912.22112,4276.95272,1472.48111,5.8578,16402.5494,2637.70872,2318.4999,103870.84397,108.a_8,2712.24212,369.54205,294.39575,1.0,6917.26477,117.83373,1.0,1.0,42.53844,12319.06485,1.11111,2623.40223,15.10825,16.53667,1.0,264.30111,30.83003,30.00344,1799.93334,108.i_8
82107.74964,37263.77778,14290.15308,781.47703,265208.1063,1238.29941,34.77778,27.27778,5486.91727,370018.52994,261.92222,73805.94334,4753.06383,1448.59223,3.24891,12374.27162,2369.65317,2415.61101,92701.01064,108.a_9,2662.24212,413.04205,274.34019,1.0,6457.76477,246.16716,1.0,1.0,42.98288,11878.00929,1.05556,2652.62446,8.02874,14.81445,1.0,223.63444,18.79336,25.55527,1762.43334,108.i_9
108308.94587,43622.09559,8723.45896,757.09059,294020.15258,497.05556,31.58261,105.78647,7669.75071,656784.58255,318.32895,141390.72222,4675.61111,1602.70334,12.96225,21975.81335,1676.92893,7936.04339,15223.08803,109.a_0,1128.3025,185.10103,72.82253,1.0,2277.99356,9.05556,1.0,1.0,18.37899,5800.54719,1.0,1402.89273,8.17778,6.83333,1.0,76.76232,2.90612,14.20535,58.0124,109.i_0
103851.00142,41431.59559,8080.34785,921.97948,282662.81925,417.05556,27.91595,100.17536,7200.91738,631803.74921,321.49562,134734.22222,4164.27778,1481.14778,19.01781,20731.31335,1812.65115,8058.04339,15389.69915,109.a_1,937.58028,138.71215,67.71141,1.0,1979.938,56.0,1.0,1.0,18.15677,5223.60275,1.0,1212.11496,6.05556,7.0,1.0,61.39453,3.51779,1.0,85.95685,109.i_1
106288.2792,50120.48448,8534.84785,1043.2017,286596.15258,497.11111,27.4715,68.41465,8356.75071,615768.41588,316.49562,129189.66667,4592.72222,1538.37,11.18669,19821.03557,1608.48448,6735.59895,17750.47692,109.a_2,1006.02472,119.43437,73.82253,1.0,1926.16022,17.0,1.0,1.0,16.82343,5024.32497,1.0,1276.11496,5.28889,3.55556,1.0,69.70677,1.51779,6.84543,78.17907,109.i_2
107939.72364,45697.09559,8426.84785,1035.42393,281738.15258,410.94444,29.13817,70.80354,7936.69516,589631.47144,308.71784,126941.83333,4909.5,1454.42556,6.47335,19325.42446,1445.92893,6715.32117,15458.58803,109.a_3,839.74694,106.48992,69.37808,1.84353,1827.71578,105.38889,1.0,1.0,15.61212,4772.54719,1.0,1059.72607,4.11111,3.55556,1.0,55.20677,4.16502,1.0,95.34574,109.i_3
112459.94587,39651.48448,7753.40341,1025.14615,293073.65258,417.22222,23.58261,30.81492,7225.69516,567785.19366,264.99562,121795.61111,3412.77778,1428.59223,5.64002,19345.81335,1202.37337,5353.21006,12614.97692,109.a_4,867.35806,112.48992,70.15586,1.0,1914.54911,21.33333,1.0,1.0,14.37899,4683.10275,1.0,1095.44829,4.05556,5.66667,1.0,50.01009,1.77668,1.0,86.0124,109.i_4
98633.33476,38350.04004,7790.18119,929.7017,266997.54147,355.55556,26.58261,83.7423,6840.75071,553102.97144,254.44006,117446.0,3963.72222,1381.48111,5.31557,19261.3689,1178.54004,6375.71006,13472.36581,109.a_5,840.02472,98.32326,85.04475,1.0,1754.38244,45.72222,1.0,1.0,14.37899,4568.04719,1.0,1089.0594,6.9,4.77778,1.0,46.81788,1.51779,1.0,87.12351,109.i_5
104851.55698,38529.65115,7190.40341,769.75726,271226.70814,394.61111,25.80484,48.52577,6653.36182,538815.80477,201.66228,118530.44444,3420.05556,1461.31445,3.53779,19560.42446,1176.59559,5758.04339,11453.2547,109.a_6,852.91361,99.37881,63.71141,1.0,1699.54911,175.27778,1.0,1.0,12.08633,4436.71386,1.0,1141.39273,6.94444,5.61111,1.0,60.48454,2.16502,1.0,87.06796,109.i_6
100709.50142,35771.7067,7037.95896,811.2017,251735.43036,392.61111,28.58261,75.52577,6158.6396,526893.86032,212.44006,116156.44444,3881.55556,1358.64778,8.1978,18773.98001,1253.76226,6210.54339,11910.81026,109.a_7,878.3025,83.32326,62.37808,1.0,1788.32689,82.83333,1.0,1.0,12.4901,4284.49164,1.0,1104.67051,2.15556,3.66667,1.0,53.81788,1.25889,2.97827,80.5124,109.i_7
